20,2,2
2,2,4
3,2,1
0,3,4
4,3,5
8,3,4
7,3,4
10,3,5
11,2,1
1,2,2
16,3,5
21,3,5
23,3,5
21,4,2
4,4,1
7,4,2
23,4,1
24,4,2
6,4,1
3,4,1
13,4,1
2,4,1
5,4,3
18,4,4
15,4,4
22,4,3
1,4,4
17,4,3
20,4,1
19,4,3
9,4,1
14,4,1
12,4,3
11,4,4
16,5,1
10,5,1
23,5,2
21,5,2
4,5,1
11,5,3
6,5,1
12,5,4
15,5,1
13,5,4
17,5,4
5,5,3
2,5,1
3,5,1
9,5,4
1,5,3
20,5,3
19,5,3
14,5,1
24,5,2
18,5,2
0,6,5
4,6,5
8,6,5
7,6,5
10,6,5
16,6,5
21,6,4
23,6,5
16,7,1
19,7,2
14,7,1
1,7,1
22,7,3
17,7,2
12,7,1
9,7,3
6,7,3
24,7,4
5,7,4
15,7,3
13,7,4
3,7,2
2,7,1
20,7,4
11,7,4
18,7,3
21,8,1
16,8,1
7,8,2
10,8,2
8,8,1
23,8,1
22,8,2
6,8,2
18,8,4
13,8,4
12,8,3
5,8,2
1,8,3
15,8,1
3,8,2
17,8,4
2,8,4
14,8,3
20,8,3
24,8,1
19,8,2
11,8,2
9,8,1
10,9,1
7,9,1
21,9,2
4,9,2
8,9,2
16,9,1
23,9,1
15,9,2
21,10,2
4,10,1
12,10,3
18,10,1
21,11,1
23,11,1
7,11,1
16,11,2
10,11,1
4,11,2
15,11,1
17,11,4
24,11,4
6,11,3
14,11,3
11,11,1
13,11,3
1,11,1
12,11,2
3,11,3
19,11,2
20,11,1
22,11,1
5,11,1
0,12,5
4,12,5
8,12,4
7,12,5
10,12,5
16,12,4
21,12,4
23,12,4
16,13,2
3,13,2
9,13,1
17,13,1
18,13,1
2,13,3
20,13,3
19,13,2
6,13,4
11,13,2
14,13,1
5,13,1
4,14,2
8,14,1
5,14,4
3,14,1
1,14,2
22,14,3
9,14,1
11,14,4
15,14,1
20,14,2
14,14,2
13,14,2
17,14,1
16,15,1
23,15,2
4,15,1
8,15,2
10,15,1
21,15,2
7,15,1
2,15,1
11,15,1
3,15,3
20,15,1
19,15,4
0,16,4
4,16,4
8,16,4
7,16,5
10,16,4
16,16,5
21,16,5
23,16,4
10,17,1
4,17,2
21,17,1
16,17,2
23,17,2
7,17,1
8,17,2
12,17,1
19,17,4
7,18,1
10,18,1
8,18,2
11,18,3
15,18,3
18,18,2
24,18,1
6,18,3
20,18,2
5,18,4
19,18,2
9,18,2
13,18,4
14,18,4
2,18,4
22,18,3
17,18,4
10,19,2
8,19,1
4,19,1
23,19,1
21,19,2
14,19,3
